조건1,전체,불량,불량률,양품,신뢰구간용_표본,변수1
쿠션위치: [1.5890000000000002 ~ 2.0],7701,0,0.0,7701,7701,쿠션위치
사출거리1 = 30,760,0,0.0,760,760,사출거리1
최대사출속도 = 280.0,3449,1,0.028993911278631487,3448,3449,최대사출속도
금형온도1: [105.8 ~ 108.7],7126,3,0.04209935447656469,7123,7126,금형온도1
사출거리1 = 35,2042,1,0.04897159647404505,2041,2042,사출거리1
사출거리1 = 28,1754,1,0.05701254275940707,1753,1754,사출거리1
배럴온도4: [45.2 ~ 50.4],7190,5,0.06954102920723226,7185,7190,배럴온도4
평균배압: [125.0 ~ 129.0],6536,6,0.09179926560587516,6530,6536,평균배압
배럴온도4: [43.3 ~ 45.2],7146,8,0.11195074167366359,7138,7146,배럴온도4
평균배압: [122.0 ~ 125.0],6413,8,0.12474660845158272,6405,6413,평균배압
사출압력4: [3.1 ~ 3.2],6509,10,0.15363343063450607,6499,6509,사출압력4
히터온도2 = 225,588,1,0.17006802721088435,587,588,히터온도2
최대사출속도 = 279.8,1028,2,0.19455252918287938,1026,1028,최대사출속도
사출압력4: [2.6990000000000003 ~ 3.1],12292,36,0.292873413602343,12256,12292,사출압력4
사출거리1 = 39,5171,16,0.3094179075614001,5155,5171,사출거리1
사출압력1 = 3.0,684,3,0.43859649122807015,681,684,사출압력1
쿠션위치: [2.04 ~ 2.06],9947,95,0.9550618276867398,9852,9947,쿠션위치
배럴온도4: [41.8 ~ 43.3],7391,79,1.0688675416046542,7312,7391,배럴온도4
쿠션위치: [2.07 ~ 2.09],8093,113,1.396268380081552,7980,8093,쿠션위치
호퍼온도: [31.8 ~ 32.8],7046,101,1.43343741129719,6945,7046,호퍼온도
호퍼온도: [32.8 ~ 35.7],7055,135,1.9135364989369241,6920,7055,호퍼온도
배럴온도3: [222.1 ~ 222.3],8022,158,1.969583644976315,7864,8022,배럴온도3
호퍼온도: [30.7 ~ 31.8],7575,157,2.0726072607260724,7418,7575,호퍼온도
배럴온도3: [222.3 ~ 222.7],8763,184,2.099737532808399,8579,8763,배럴온도3
금형온도1: [101.3 ~ 102.5],7361,159,2.1600326042657247,7202,7361,금형온도1
최대사출속도 = 350.3,370,8,2.1621621621621623,362,370,최대사출속도
금형하판온도: [20.4 ~ 22.0],7015,156,2.223806129722024,6859,7015,금형하판온도
평균배압: [136.0 ~ 145.0],6156,144,2.3391812865497075,6012,6156,평균배압
쿠션위치: [2.06 ~ 2.07],4687,110,2.3469170044804777,4577,4687,쿠션위치
사출압력4: [3.3 ~ 3.4],29285,706,2.4107905070855384,28579,29285,사출압력4
금형온도1: [98.2 ~ 99.9],7536,192,2.547770700636943,7344,7536,금형온도1
호퍼온도: [25.5 ~ 26.6],7062,188,2.6621353724157464,6874,7062,호퍼온도
사출거리1 = 33,543,15,2.7624309392265194,528,543,사출거리1
사출거리1 = 29,2813,81,2.8794880910060434,2732,2813,사출거리1
현장온도 = 22,10278,299,2.9091262891613154,9979,10278,현장온도
금형온도1: [95.4 ~ 98.2],7337,215,2.9303530053155242,7122,7337,금형온도1
금형온도1: [104.8 ~ 105.8],6670,208,3.1184407796101947,6462,6670,금형온도1
배럴온도3: [222.7 ~ 223.0],7695,242,3.1448992852501627,7453,7695,배럴온도3
현장온도 = 21,31718,1006,3.1717006116400785,30712,31718,현장온도
금형하판온도: [22.0 ~ 27.0],6366,203,3.188815582783538,6163,6366,금형하판온도
금형상판온도: [35.0 ~ 38.4],55168,1810,3.2808874709976803,53358,55168,금형상판온도
금형온도1: [99.9 ~ 101.3],7221,254,3.5175183492591056,6967,7221,금형온도1
최대사출속도 = 349.9,21681,766,3.533047368663807,20915,21681,최대사출속도
평균배압: [134.0 ~ 136.0],8184,296,3.6168132942326494,7888,8184,평균배압
배럴온도3: [222.0 ~ 222.1],7138,260,3.6424768842813116,6878,7138,배럴온도3
호퍼온도: [27.7 ~ 28.5],7186,275,3.8268856109101033,6911,7186,호퍼온도
배럴온도4: [39.4 ~ 40.6],6945,270,3.8876889848812093,6675,6945,배럴온도4
쿠션위치: [2.0 ~ 2.04],7296,284,3.8925438596491233,7012,7296,쿠션위치
강제후퇴위치2 = 3.0,25871,1019,3.9387731436743847,24852,25871,강제후퇴위치2
배럴온도4: [37.9 ~ 39.4],7407,292,3.9422168219252063,7115,7407,배럴온도4
호퍼온도: [23.8 ~ 25.5],7476,299,3.9994649545211343,7177,7476,호퍼온도
사출속도4 = 10.0,41594,1671,4.0174063566860605,39923,41594,사출속도4
평균배압: [0.999 ~ 112.0],7477,301,4.025678748161027,7176,7477,평균배압
평균배압: [129.0 ~ 132.0],11918,482,4.044302735358282,11436,11918,평균배압
호퍼온도(외부): [29.999 ~ 82.5],69691,2833,4.0650873140003725,66858,69691,호퍼온도(외부)
금형하판온도: [19.0 ~ 20.4],51795,2196,4.2397914856646395,49599,51795,금형하판온도
평균배압: [133.0 ~ 134.0],3592,153,4.259465478841871,3439,3592,평균배압
금형상판온도: [38.4 ~ 40.0],4702,207,4.402381965121225,4495,4702,금형상판온도
히터온도2 = 222,51860,2469,4.760894716544542,49391,51860,히터온도2
평균배압: [117.0 ~ 122.0],7717,370,4.794609304133731,7347,7717,평균배압
사출압력1 = 7.5,16631,815,4.900487042270458,15816,16631,사출압력1
히터온도2 = 223,19327,953,4.930925648057123,18374,19327,히터온도2
호퍼수분율: [0.099 ~ 2.0],70452,3491,4.955146766592858,66961,70452,호퍼수분율
금형온도2 = 0,72761,3695,5.078269952309617,69066,72761,금형온도2
보압시간1 = 1.0,72630,3696,5.088806278397357,68934,72630,보압시간1
사출압력1 = 8.0,55447,2878,5.190542319692679,52569,55447,사출압력1
사출압력4: [3.2 ~ 3.3],17072,927,5.429943767572634,16145,17072,사출압력4
배럴온도4: [40.6 ~ 41.8],7224,407,5.633997785160576,6817,7224,배럴온도4
강제후퇴위치2 = 2.0,46796,2677,5.720574408069066,44119,46796,강제후퇴위치2
호퍼온도: [29.5 ~ 30.7],7295,419,5.743660041124057,6876,7295,호퍼온도
금형온도1: [102.5 ~ 103.7],7017,406,5.785948411001852,6611,7017,금형온도1
현장온도 = 20,23423,1359,5.801989497502455,22064,23423,현장온도
평균배압: [132.0 ~ 133.0],6116,355,5.804447351209941,5761,6116,평균배압
사출거리1 = 25,59509,3582,6.019257591288713,55927,59509,사출거리1
사출속도4 = 11.0,26254,1605,6.113354155557248,24649,26254,사출속도4
배럴온도3: [219.999 ~ 221.8],13386,821,6.133273569400866,12565,13386,배럴온도3
최대사출속도 = 350.1,45582,2871,6.298538896933,42711,45582,최대사출속도
배럴온도3: [223.0 ~ 223.3],6093,386,6.335138683735433,5707,6093,배럴온도3
호퍼온도: [28.5 ~ 29.5],7070,448,6.336633663366337,6622,7070,호퍼온도
배럴온도3: [221.9 ~ 222.0],10403,665,6.392386811496683,9738,10403,배럴온도3
배럴온도4: [34.7 ~ 36.4],7624,490,6.42707240293809,7134,7624,배럴온도4
쿠션위치: [2.12 ~ 2.15],6041,407,6.7372951498096345,5634,6041,쿠션위치
현장온도 = 19,3936,266,6.758130081300813,3670,3936,현장온도
배럴온도4: [32.6 ~ 34.7],7125,482,6.764912280701754,6643,7125,배럴온도4
배럴온도4: [36.4 ~ 37.9],7205,494,6.856349757113116,6711,7205,배럴온도4
배럴온도3: [221.8 ~ 221.9],5510,401,7.277676950998186,5109,5510,배럴온도3
호퍼온도: [26.6 ~ 27.7],7502,556,7.411356971474274,6946,7502,호퍼온도
쿠션위치: [2.15 ~ 2.19],8528,657,7.704033771106941,7871,8528,쿠션위치
최대사출속도 = 349.7,611,48,7.855973813420622,563,611,최대사출속도
쿠션위치: [2.19 ~ 2.24],6573,559,8.504488057203712,6014,6573,쿠션위치
호퍼수분율: [2.0 ~ 27.0],2310,205,8.874458874458876,2105,2310,호퍼수분율
사출속도4 = 9.0,4692,419,8.930093776641092,4273,4692,사출속도4
금형온도1: [103.7 ~ 104.8],7800,701,8.987179487179487,7099,7800,금형온도1
쿠션위치: [2.09 ~ 2.12],7317,716,9.78543118764521,6601,7317,쿠션위치
배럴온도3: [223.3 ~ 225.5],5752,579,10.066063977746872,5173,5752,배럴온도3
금형온도1: [91.2 ~ 95.4],7307,764,10.455727384699603,6543,7307,금형온도1
금형온도1: [61.599000000000004 ~ 91.2],7387,794,10.748612427237038,6593,7387,금형온도1
금형상판온도: [40.0 ~ 99.0],5518,595,10.782892352301559,4923,5518,금형상판온도
쿠션위치: [2.24 ~ 15.07],6579,755,11.475908192734458,5824,6579,쿠션위치
금형상판온도: [30.999 ~ 35.0],7374,1084,14.700298345538378,6290,7374,금형상판온도
호퍼온도: [15.299000000000001 ~ 23.8],7495,1118,14.916611074049365,6377,7495,호퍼온도
금형하판온도: [0.999 ~ 19.0],7586,1141,15.04086475085684,6445,7586,금형하판온도
배럴온도4: [20.898999999999997 ~ 32.6],7505,1169,15.57628247834777,6336,7505,배럴온도4
평균배압: [112.0 ~ 117.0],8653,1581,18.271119842829076,7072,8653,평균배압
현장온도 = 18,2747,596,21.696396068438297,2151,2747,현장온도
사출압력4: [3.5 ~ 4.0],4857,1282,26.394893967469628,3575,4857,사출압력4
사출압력4: [3.4 ~ 3.5],2747,735,26.75646159446669,2012,2747,사출압력4
호퍼온도(외부): [82.5 ~ 512.0],3071,863,28.10159557147509,2208,3071,호퍼온도(외부)
히터온도2 = 224,926,273,29.481641468682508,653,926,히터온도2
현장온도 = 17,357,161,45.09803921568628,196,357,현장온도
